concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	concept_code
197339	Congenital abnormality of uterus, affecting pregnancy	Condition	SNOMED	Clinical Finding	41215002
444258	Abrasion and/or friction burn of neck with infection	Condition	SNOMED	Clinical Finding	84278006
1319973	24 HR Nisoldipine 17 MG Extended Release Oral Tablet [Sular]	Drug	RxNorm	Quant Branded Drug	763521
2001333	Endoscopic excision or destruction of lesion or tissue of lung	Procedure	ICD9Proc	4-dig billing code	32.28
2107263	Anastomosis of pulmonary artery to aorta (Damus-Kaye-Stansel procedure)	Procedure	CPT4	CPT4	33606
2728215	Dilation of Upper Artery, Percutaneous Approach	Procedure	ICD10PCS	ICD10PCS	037Y3ZZ
40163298	Prochlorperazine 15 MG Extended Release Oral Capsule [Compazine]	Drug	RxNorm	Branded Drug	856623
433745	Amphetamine abuse, episodic	Condition	SNOMED	Clinical Finding	429692000
435357	Conjoined twins	Condition	SNOMED	Clinical Finding	41337007
1113573	Aspirin 325 MG / Oxycodone Hydrochloride 4.5 MG / oxycodone terephthalate 0.38 MG Oral Tablet [Percodan]	Drug	RxNorm	Branded Drug	637542
2104101	Synovectomy, extensor tendon sheath, wrist, single compartment	Procedure	CPT4	CPT4	25118
2104593	Repair non-union, metacarpal or phalanx (includes obtaining bone graft with or without external or internal fixation)	Procedure	CPT4	CPT4	26546
2788138	Fluoroscopy of Other Lower Arteries using Low Osmolar Contrast	Procedure	ICD10PCS	ICD10PCS	B41J1ZZ
4265896	Jellyfish poisoning	Condition	SNOMED	Clinical Finding	62208003
19042347	Lecithin 1240 MG Oral Capsule	Drug	RxNorm	Clinical Drug	198728
40163376	sevelamer hydrochloride 403 MG Oral Capsule [RenaGel]	Drug	RxNorm	Branded Drug	857210
43013665	Hydrocortisone butyrate 1 MG/ML Topical Solution [Locoid]	Drug	RxNorm	Branded Drug	1370768
45773402	Recipient of transplantation	Condition	SNOMED	Clinical Finding	702774002
23304	Neck webbing	Condition	SNOMED	Clinical Finding	11731003
196029	Hepatic coma due to viral hepatitis	Condition	SNOMED	Clinical Finding	40946000
374646	Toxic cataract	Condition	SNOMED	Clinical Finding	38583007
435132	Victim in single vehicle accident	Condition	SNOMED	Clinical Finding	129675007
438226	Short cord	Condition	SNOMED	Clinical Finding	59795007
715997	donepezil	Drug	RxNorm	Ingredient	135447
2005092	Excision or correction of bunionette	Procedure	ICD9Proc	4-dig billing code	77.54
2007106	General physical examination	Procedure	ICD9Proc	3-dig billing code	89.7
2103041	Excision of malignant tumor of mandible; radical resection	Procedure	CPT4	CPT4	21045
2104134	Carpectomy; all bones of proximal row	Procedure	CPT4	CPT4	25215
2104735	Incision, bone cortex, pelvis and/or hip joint (eg, osteomyelitis or bone abscess)	Procedure	CPT4	CPT4	26992
2105302	Repair, dislocating peroneal tendons; without fibular osteotomy	Procedure	CPT4	CPT4	27675
2109849	Excision of urethral diverticulum (separate procedure); female	Procedure	CPT4	CPT4	53230
2726089	Removal of Infusion Device from Great Vessel, Open Approach	Procedure	ICD10PCS	ICD10PCS	02PY03Z
2741512	Replacement of Right Lens with Synthetic Substitute, Percutaneous Approach	Procedure	ICD10PCS	ICD10PCS	08RJ3JZ
2786050	Ultrasonography of Left Heart, Transesophageal	Procedure	ICD10PCS	ICD10PCS	B245ZZ4
2788625	Ultrasonography of Bilateral Lower Extremity Arteries, Intravascular	Procedure	ICD10PCS	ICD10PCS	B44HZZ3
4016122	Closed fracture talus, body	Condition	SNOMED	Clinical Finding	208686005
4033864	Livedoid vasculitis	Condition	SNOMED	Clinical Finding	238762002
4042141	Ear and auditory finding	Condition	SNOMED	Clinical Finding	118236001
4134171	Dislocation of joint of spine	Condition	SNOMED	Clinical Finding	263013004
4242348	Benign neoplasm of intrathoracic organs	Condition	SNOMED	Clinical Finding	92157004
4318699	Disorder of lacrimal gland	Condition	SNOMED	Clinical Finding	95766002
40163967	24 HR galantamine hydrobromide 16 MG Extended Release Oral Capsule [Razadyne]	Drug	RxNorm	Quant Branded Drug	860697
40168451	Dextroamphetamine Sulfate 5 MG Oral Tablet [Dexedrine]	Drug	RxNorm	Branded Drug	884538
40171507	24 HR Verapamil hydrochloride 180 MG Extended Release Oral Tablet [Covera]	Drug	RxNorm	Quant Branded Drug	901522
43011898	3 ML heparin sodium, porcine 2 UNT/ML Prefilled Syringe	Drug	RxNorm	Quant Clinical Drug	1362065
43528010	Allergy testing, any combination of percutaneous (scratch, puncture, prick) and intracutaneous (intradermal), sequential and incremental, with venoms, immediate type reaction, including test interpretation and report, specify number of tests	Measurement	CPT4	CPT4	95017
45770827	Female genital mutilation	Condition	SNOMED	Clinical Finding	95041000119101
45777017	{32 (Methotrexate 2.5 MG Oral Tablet [Rheumatrex]) } Pack [Rheumatrex Dose Pack 32]	Drug	RxNorm	Branded Pack	1541228
142016	Nonvenomous insect bite of finger with infection	Condition	SNOMED	Clinical Finding	52705001
373347	Subdural hemorrhage following injury without open intracranial wound AND with concussion	Condition	SNOMED	Clinical Finding	6666006
378429	Rosacea conjunctivitis	Condition	SNOMED	Clinical Finding	10128002
380944	Adenoviral pharyngoconjunctivitis	Condition	SNOMED	Clinical Finding	70385007
437260	Transient hypersomnia	Condition	SNOMED	Clinical Finding	268653004
438737	Acute paranoid reaction	Condition	SNOMED	Clinical Finding	268624000
440983	Psychogenic paranoid psychosis	Condition	SNOMED	Clinical Finding	191680007
1344358	Epirubicin Hydrochloride 2 MG/ML Injectable Solution	Drug	RxNorm	Clinical Drug	836378
1583722	exenatide	Drug	RxNorm	Ingredient	60548
