dataset_id	concept_id_1	concept_id_2	concept_count	concept_prevalence	chi_square_t	chi_square_p	expected_count	ln_ratio	rel_freq_1	rel_freq_2
8507	961460	40	2.234099e-05	2.020565e-01	6.530660e-01	3.789460e+01	5.407078e-02	5.306004e-05	4.444444e-01
1	8507	904598	41	2.289951e-05	1.828768e+01	1.899313e-05	6.778923e+01	-5.028313e-01	5.438654e-05	2.546584e-01
1	8507	948491	41	2.289951e-05	1.763285e+00	1.842152e-01	4.799983e+01	-1.576254e-01	5.438654e-05	3.596491e-01
1	8507	903649	42	2.345804e-05	1.861664e+00	1.724329e-01	3.578935e+01	1.600194e-01	5.571304e-05	4.941176e-01
1	8507	937798	42	2.345804e-05	8.777082e+00	3.050388e-03	5.936821e+01	-3.460893e-01	5.571304e-05	2.978723e-01
1	8507	940093	43	2.401656e-05	1.969681e-01	6.571794e-01	4.084196e+01	5.149014e-02	5.703954e-05	4.432990e-01
1	8507	974702	43	2.401656e-05	5.401787e-03	9.414108e-01	4.336827e+01	-8.527874e-03	5.703954e-05	4.174757e-01
1	8507	958211	44	2.457509e-05	4.166835e+00	4.122273e-02	5.557875e+01	-2.336113e-01	5.836604e-05	3.333333e-01
1	8507	929639	45	2.513361e-05	7.774534e+00	5.298788e-03	3.284199e+01	3.149547e-01	5.969254e-05	5.769231e-01
1	8507	993601	45	2.513361e-05	3.302383e+00	6.917947e-02	3.663145e+01	2.057554e-01	5.969254e-05	5.172414e-01
1	8507	903679	46	2.569214e-05	3.046182e+01	3.405030e-08	8.463128e+01	-6.096625e-01	6.101904e-05	2.288557e-01
1	8507	918225	46	2.569214e-05	2.065198e+00	1.506953e-01	3.915776e+01	1.610429e-01	6.101904e-05	4.946237e-01
1	8507	965013	46	2.569214e-05	1.330160e+00	2.487767e-01	4.042091e+01	1.292942e-01	6.101904e-05	4.791667e-01
1	8507	974883	46	2.569214e-05	9.049322e-02	7.635511e-01	4.757878e+01	-3.374542e-02	6.101904e-05	4.070796e-01
1	8507	921023	47	2.625066e-05	2.712972e+00	9.953539e-02	3.915776e+01	1.825491e-01	6.234555e-05	5.053763e-01
1	8507	966282	47	2.625066e-05	8.421563e+00	3.707968e-03	3.410514e+01	3.206994e-01	6.234555e-05	5.802469e-01
1	8507	968667	47	2.625066e-05	4.613086e+00	3.172889e-02	3.705250e+01	2.378118e-01	6.234555e-05	5.340909e-01
1	8507	901659	48	2.680919e-05	1.432190e+00	2.314073e-01	5.473665e+01	-1.313324e-01	6.367205e-05	3.692308e-01
1	8507	915670	48	2.680919e-05	2.944993e-01	5.873516e-01	5.094719e+01	-5.958854e-02	6.367205e-05	3.966942e-01
1	8507	916232	48	2.680919e-05	4.369002e+01	3.847285e-11	2.357886e+01	7.108503e-01	6.367205e-05	8.571429e-01
