dataset_id,domain_id,count
1,Disease,10159
1,Device,170
1,Drug,10264
1,PopulationOfIndividualOrganisms,2
1,PopulationOfIndividualOrganisms,4
1,QuantityValue,188
1,ActivityAndBehavior,870
1,Procedure,8270
1,PopulationOfIndividualOrganisms,32
1,Phenomenon,5
2,Disease,11952
2,Device,204
2,Drug,12334
2,PopulationOfIndividualOrganisms,2
2,PopulationOfIndividualOrganisms,4
2,QuantityValue,235
2,ActivityAndBehavior,993
2,Procedure,10816
2,PopulationOfIndividualOrganisms,32
2,Phenomenon,6
3,Disease,16560
3,Drug,23255
3,PopulationOfIndividualOrganisms,2
3,PopulationOfIndividualOrganisms,4
3,ActivityAndBehavior,2
3,Procedure,22657
3,PopulationOfIndividualOrganisms,32
